Year,UserID,ISBN,Title,Publisher,Quantity,OrderedID,ShippmentDate,State,ShipmentTo,Zipcod
2024,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2024-1-1184,"01-01-2024 0.00",DELHI,"NEW DELHI",110057
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-1189,"01-01-2024 0.00","Andhra Pradesh",Hyderabad,500003
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-1195,"01-01-2024 0.00",Bihar,Motihari,845401
2024,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2024-1-1370,"01-01-2024 0.00",Chhattisgarh,Rajkot,496115
2024,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2024-1-1446,"01-01-2024 0.00",DELHI,"West Delhi",110022
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-1617,"01-01-2024 0.00",DELHI,"Parliament House",110001
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-1766,"01-01-2024 0.00",GUJARAT,VADODARA,390002
2024,59,9.781E+12,"Trail Guide to Movement (Building the Body in Motion)","Books Of Discovery",1,2024-1-1776,"01-01-2024 0.00",Gujarat,Raipur,380001
2024,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2024-1-1869,"01-01-2024 0.00",Haryana,Kurukshetra,136118
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-1875,"01-01-2024 0.00",Haryana,"Yamuna Nagar",133103
2024,59,9.78099E+12,"Trail Guide to the Body Flashcards, Vol 1","Books Of Discovery",1,2024-1-1943,"01-01-2024 0.00",Haryana,Panchkula,133302
2024,59,9.781E+12,"Review Guide Applied Anatomy","Books Of Discovery",1,2024-1-2061,"01-01-2024 0.00",Haryana,Panipat,132107
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-2062,"01-01-2024 0.00",Karnataka,Karur,583120
2024,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",2,2024-1-2085,"01-01-2024 0.00",Karnataka,Mysore,570001
2024,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2024-1-2417,"01-01-2024 0.00",Kerala,Thiruvananthapuram,695001
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-2546,"01-01-2024 0.00",MAHARASHTRA,MUMBAI,400064
2024,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2024-1-2577,"01-01-2024 0.00",Maharashtra,Nashik,422001
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",1,2024-1-2584,"01-01-2024 0.00",Punjab,Amritsar,143008
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2024-1-2863,"01-01-2024 0.00",Rajasthan,Karwar,323613
2024,59,9.781E+12,"A Massage Therapist's Guide to Pathology (Critical Thinking and Practical Application)","Books Of Discovery",1,2024-1-2920,"01-01-2024 0.00",Sikkim,"North Sikkim",737116
2024,59,9.781E+12,"Trail Guide to the Body","Books Of Discovery",2,2024-1-3043,"01-01-2024 0.00","TAMIL NADU",PUDUPAKKAM,603103
2024,59,9.781E+12,"Applied Anatomy & Physiology for Manual Therapists","Books Of Discovery",1,2024-1-3090,"01-01-2024 0.00","Tamil Nadu",Rasipuram,637411
